CC,defaultDescription,conceptID
RIGHT-SIDE THIGH INJ,R Thigh injury,7523003-R
RIGHT-SIDE THIGH INJURY,R Thigh injury,7523003-R
RIGHT-SIDE THIGH LAC,R Thigh laceration,283385000-R
RIGHT-SIDE THIGH LACERATION,R Thigh laceration,283385000-R
RIGHT-SIDE THIGH PAIN,R Thigh pain,78514002-R
RIGHT-SIDE THORACIC BACK PAIN,R Upper back pain,279038004-R
RIGHT-SIDE THORACIC PAIN,R Upper back pain,279038004-R
RIGHT-SIDE THUMB BURN,R Thumb burn,64090007-R
RIGHT-SIDE THUMB CRUSH INJ,R Thumb crush injury,283858004-R
RIGHT-SIDE THUMB CRUSH INJURY,R Thumb crush injury,283858004-R
RIGHT-SIDE THUMB FX,R Thumb fx,274160002-R
RIGHT-SIDE THUMB INJ,R Thumb injury,262520005-R
RIGHT-SIDE THUMB INJURY,R Thumb injury,262520005-R
RIGHT-SIDE THUMB LAC,R Thumb laceration,274173003-R
RIGHT-SIDE THUMB LACERATION,R Thumb laceration,274173003-R
RIGHT-SIDE THUMB PAIN,R Thumb pain,300955002-R
RIGHT-SIDE THUMB REDNESS,R Thumb redness,e65a02c6c5ea11e4a4a5525400010026-R
RIGHT-SIDE TIB/FIB FRACTURE,R Tib/Fib Fracture,414293001-R
RIGHT-SIDE TIB/FIB FX,R Tib/Fib Fracture,414293001-R
RIGHT-SIDE TIBIA AND FIBULA FRACTURE,R Tib/Fib Fracture,414293001-R
RIGHT-SIDE TIBIA AND FIBULA FX,R Tib/Fib Fracture,414293001-R
RIGHT-SIDE TIBIA FRACTURE,R Tibia fracture,31978002-R
RIGHT-SIDE TIBIA FX,R Tibia fracture,31978002-R
RIGHT-SIDE TOE ABSCESS,R Toe abscess,111183001-R
RIGHT-SIDE TOE BURN,R Toe burn,88374002-R
RIGHT-SIDE TOE CRUSH INJ,R Toe crush injury,74682007-R
RIGHT-SIDE TOE CRUSH INJURY,R Toe crush injury,74682007-R
RIGHT-SIDE TOE FRACTURE,R Toe fx,21351003-R
RIGHT-SIDE TOE FX,R Toe fx,21351003-R
RIGHT-SIDE TOE LAC,R Toe laceration,284552004-R
RIGHT-SIDE TOE LACERATION,R Toe laceration,284552004-R
RIGHT-SIDE TOE NAIL BED LAC,R Toe nail bed laceration,446859003-R
RIGHT-SIDE TOE NAIL BED LACERATION,R Toe nail bed laceration,446859003-R
RIGHT-SIDE TOE NUMB,R Toe numb,309539008-R
RIGHT-SIDE TOE NUMBNESS,R Toe numb,309539008-R
RIGHT-SIDE TOE PAIN,R Toe pain,285365001-R
RIGHT-SIDE TOE REDNESS,R Toe redness,e98210cec5ea11e4a9a0525400010026-R
RIGHT-SIDE TRAUMATIC BACK/SPINE INJ,R Back pain,161891005-R
RIGHT-SIDE TRAUMATIC BACK/SPINE INJURY,R Back pain,161891005-R
RIGHT-SIDE TRUNK LAC,R Trunk laceration,283375001-R
RIGHT-SIDE TRUNK LACERATION,R Trunk laceration,283375001-R
RIGHT-SIDE UE BURN,R Arm burn,6055000-R
RIGHT-SIDE UE CELLULITIS,R Arm cellulitis,449671007-R
RIGHT-SIDE UE CRUSH INJ,R Arm crush injury,9560007-R
RIGHT-SIDE UE CRUSH INJURY,R Arm crush injury,9560007-R
RIGHT-SIDE UE DVT,R Arm DVT,128054009-R
RIGHT-SIDE UE FRACTURE,R Arm fracture,23406007-R
RIGHT-SIDE UE FX,R Arm fracture,23406007-R
RIGHT-SIDE UE INJ,R Arm injury,127278005-R
RIGHT-SIDE UE INJURY,R Arm injury,127278005-R
RIGHT-SIDE UE LAC,R Arm laceration,283366003-R
RIGHT-SIDE UE LACERATION,R Arm laceration,283366003-R
RIGHT-SIDE UE NUMBNESS,R Arm numbness,298753001-R
RIGHT-SIDE UE PAIN,R Arm pain,102556003-R
RIGHT-SIDE UE REDNESS,R Arm redness,0552bee6c5e811e48aee525400010026-R
RIGHT-SIDE UE SWELLING,R Arm swelling,449618007-R
RIGHT-SIDE UE WEAKNESS,R Arm weakness,6dc81860c5e611e4a6ab525400010026-R
RIGHT-SIDE ULNA FX,R Ulna fx,54556006-R
RIGHT-SIDE UPPER BACK PAIN,R Upper back pain,279038004-R
RIGHT-SIDE UPPER EXTREMITY BURN,R Arm burn,6055000-R
RIGHT-SIDE UPPER EXTREMITY INJ,R Arm injury,127278005-R
RIGHT-SIDE UPPER EXTREMITY INJURY,R Arm injury,127278005-R
RIGHT-SIDE UPPER EXTREMITY SWELLING,R Arm swelling,449618007-R
RIGHT-SIDE UPPER LIMB ABSECSS,R Arm abscess,315597005-R
RIGHT-SIDE UPPER LIMB BURN,R Arm burn,6055000-R
RIGHT-SIDE WEAK,R Weakness,26544005-R
RIGHT-SIDE WEAKNES,R Weakness,26544005-R
RIGHT-SIDE WEAKNESS,R Weakness,26544005-R
RIGHT-SIDE WRIST ABSCESS,R Wrist abscess,36281004-R
RIGHT-SIDE WRIST BURN,R Wrist burn,3480002-R
RIGHT-SIDE WRIST CRUSH INJ,R Wrist crush injury,47814001-R
RIGHT-SIDE WRIST CRUSH INJURY,R Wrist crush injury,47814001-R
RIGHT-SIDE WRIST INJ,R Wrist injury,125598003-R
RIGHT-SIDE WRIST INJURY,R Wrist injury,125598003-R
RIGHT-SIDE WRIST LAC,R Wrist laceration,283372003-R
RIGHT-SIDE WRIST LACERATION,R Wrist laceration,283372003-R
RIGHT-SIDE WRIST PAIN,R Wrist pain,56608008-R
RIGHT-SIDED +DVT,R DVT,128053003-R
RIGHT-SIDED ABDOMEN LAC,R Abdomen laceration,283378004-R
RIGHT-SIDED ABDOMEN LACERATION,R Abdomen laceration,283378004-R
RIGHT-SIDED ANKLE ABSCESS,R Ankle abscess,58196009-R
RIGHT-SIDED ANKLE BURN,R Ankle burn,40993007-R
RIGHT-SIDED ANKLE CRUSH INJ,R Ankle crush injury,65896005-R
RIGHT-SIDED ANKLE CRUSH INJURY,R Ankle crush injury,65896005-R
RIGHT-SIDED ANKLE FRACTURE,R Ankle fx,16114001-R
RIGHT-SIDED ANKLE FX,R Ankle fx,16114001-R
RIGHT-SIDED ANKLE INJ,R Ankle injury,125603006-R
RIGHT-SIDED ANKLE INJURY,R Ankle injury,125603006-R
RIGHT-SIDED ANKLE LAC,R Ankle laceration,283390002-R
RIGHT-SIDED ANKLE LACERATION,R Ankle laceration,283390002-R
RIGHT-SIDED ANKLE PAIN,R Ankle pain,247373008-R
RIGHT-SIDED ANKLE SWELLING,R Ankle swelling,267039000-R
RIGHT-SIDED ARM ABSCESS,R Arm abscess,315597005-R
RIGHT-SIDED ARM BURN,R Arm burn,6055000-R
RIGHT-SIDED ARM CELLULITIS,R Arm cellulitis,449671007-R
RIGHT-SIDED ARM CRUSH INJ,R Arm crush injury,9560007-R
RIGHT-SIDED ARM CRUSH INJURY,R Arm crush injury,9560007-R
RIGHT-SIDED ARM DVT,R Arm DVT,128054009-R
RIGHT-SIDED ARM FRACTURE,R Arm fracture,23406007-R
RIGHT-SIDED ARM FX,R Arm fracture,23406007-R
RIGHT-SIDED ARM INJ,R Arm injury,127278005-R
RIGHT-SIDED ARM INJURY,R Arm injury,127278005-R
RIGHT-SIDED ARM LAC,R Arm laceration,283366003-R
RIGHT-SIDED ARM LACERATION,R Arm laceration,283366003-R
RIGHT-SIDED ARM NUMBNESS,R Arm numbness,298753001-R
RIGHT-SIDED ARM PAIN,R Arm pain,102556003-R
RIGHT-SIDED ARM REDNESS,R Arm redness,0552bee6c5e811e48aee525400010026-R
RIGHT-SIDED ARM SWELLING,R Arm swelling,449618007-R
RIGHT-SIDED ARM WEAKNESS,R Arm weakness,6dc81860c5e611e4a6ab525400010026-R
RIGHT-SIDED AXILLA ABSCESS,R Axilla abscess,13802001-R
RIGHT-SIDED AXILLA BURN,R Axilla burn,84493007-R
RIGHT-SIDED AXILLA LAC,R Axilla laceration,283368002-R
RIGHT-SIDED AXILLA LACERATION,R Axilla laceration,283368002-R
RIGHT-SIDED AXILLARY ABSCESS,R Axilla abscess,13802001-R
RIGHT-SIDED BACK LAC,R Back laceration,274171001-R
RIGHT-SIDED BACK LACERATION,R Back laceration,274171001-R
RIGHT-SIDED BACK PAIN,R Back pain,161891005-R
RIGHT-SIDED BACKPAIN,R Back pain,161891005-R
RIGHT-SIDED BODY PAIN,R Body pain,279001004-R
RIGHT-SIDED BREAST ABSCESS,R Breast abscess,28432003-R
RIGHT-SIDED BREAST BURN,R Breast burn,80433004-R
RIGHT-SIDED BREAST ERYTHEMA,R Breast erythema,290070001-R
RIGHT-SIDED BREAST LAC,R Breast laceration,283376000-R
RIGHT-SIDED BREAST LACERATION,R Breast laceration,283376000-R
RIGHT-SIDED BREAST PAIN,R Breast pain,53430007-R
RIGHT-SIDED BREAST TENDERNESS,R Tender breast,55222007-R
RIGHT-SIDED BUTTOCK ABSCESS,R Gluteal abscess,64576003-R
RIGHT-SIDED BUTTOCK LAC,R Buttock laceration,283383007-R
RIGHT-SIDED BUTTOCK LACERATION,R Buttock laceration,283383007-R
RIGHT-SIDED C/P,R Chest pain,29857009-R
RIGHT-SIDED CALCANEUS FX,R Calcaneus fx,263247007-R
RIGHT-SIDED CALF LAC,R Calf laceration,283389006-R
RIGHT-SIDED CALF LACERATION,R Calf laceration,283389006-R
RIGHT-SIDED CALF PAIN,R Calf pain,300954003-R
RIGHT-SIDED CAROTID ARTERY DISSECTION,R Carotid artery dissection,230729006-R
RIGHT-SIDED CAROTID DISSECTION,R Carotid artery dissection,230729006-R
RIGHT-SIDED CHEEK ABSCESS,R Cheek abscess,308661000-R
RIGHT-SIDED CHEEK LAC,R Cheek laceration,283362001-R
RIGHT-SIDED CHEEK LACERATION,R Cheek laceration,283362001-R
RIGHT-SIDED CHEEK PAIN,R Cheek pain,473008002-R
RIGHT-SIDED CHEST PAIN,R Chest pain,29857009-R
RIGHT-SIDED CHEST PAIN (CARDIAC FEATURES),R Chest pain,29857009-R
RIGHT-SIDED CHEST PAIN (NONCARDIAC FEATURES),R Chest pain,29857009-R
RIGHT-SIDED CHEST PAINS,R Chest pain,29857009-R
RIGHT-SIDED CHEST PRESSURE,R Chest pain,29857009-R
RIGHT-SIDED CHEST TIGHTNESS,R Chest pain,29857009-R
RIGHT-SIDED CHEST WALL LAC,R Chest wall laceration,274167004-R
RIGHT-SIDED CHEST WALL LACERATION,R Chest wall laceration,274167004-R
RIGHT-SIDED CHIN LAC,R Chin laceration,110077007-R
RIGHT-SIDED CHIN LACERATION,R Chin laceration,110077007-R
RIGHT-SIDED CLAVICLE FRACTURE,R Clavicle fracture,58150001-R
RIGHT-SIDED CLAVICLE FX,R Clavicle fracture,58150001-R
RIGHT-SIDED CLAVICLE PAIN,R Clavicle pain,203509009-R
RIGHT-SIDED CLAVICULAR PAIN,R Clavicle pain,203509009-R
RIGHT-SIDED CLOSED HIP FRACTURE,R Closed hip fracture,359817006-R
RIGHT-SIDED CLOSED HIP FX,R Closed hip fracture,359817006-R
RIGHT-SIDED COLLAR BONE FRACTURE,R Clavicle fracture,58150001-R
RIGHT-SIDED COLLAR BONE FX,R Clavicle fracture,58150001-R
RIGHT-SIDED CP,R Chest pain,29857009-R
RIGHT-SIDED CP - CHEST PAIN,R Chest pain,29857009-R
RIGHT-SIDED DECREASED HEARING,R Hearling loss,103276001-R
RIGHT-SIDED DVT,R DVT,128053003-R
RIGHT-SIDED DVT - DEEP VEIN THROMBOSIS,R DVT,128053003-R
RIGHT-SIDED EAR ACHE,R Ear pain,16001004-R
RIGHT-SIDED EAR BURN,R Ear burn,39065001-R
RIGHT-SIDED EAR CRUSH INJ,R Ear crush injury,67070005-R
RIGHT-SIDED EAR CRUSH INJURY,R Ear crush injury,67070005-R
RIGHT-SIDED EAR DISCHARGE,R Ear discharge,300132001-R
RIGHT-SIDED EAR FOREIGN BODY,R Ear foreign body,75441006-R
RIGHT-SIDED EAR INJ,R Ear injury,2999009-R
RIGHT-SIDED EAR INJURY,R Ear injury,2999009-R
RIGHT-SIDED EAR LAC,R Ear Laceration,283361008-R
RIGHT-SIDED EAR LACERATION,R Ear Laceration,283361008-R
RIGHT-SIDED EAR PAIN,R Ear pain,16001004-R
RIGHT-SIDED EAR SWELLING,R Ear swelling,300874009-R
RIGHT-SIDED EARACHE,R Ear pain,16001004-R
RIGHT-SIDED EBLOW FX,R Elbow fracture,309464009-R
RIGHT-SIDED ELBOW BURN,R Elbow burn,18084001-R
RIGHT-SIDED ELBOW CRUSH INJ,R Elbow crush injury,5450005-R
RIGHT-SIDED ELBOW CRUSH INJURY,R Elbow crush injury,5450005-R
RIGHT-SIDED ELBOW FRACTURE,R Elbow fracture,309464009-R
RIGHT-SIDED ELBOW FX,R Elbow fracture,309464009-R
RIGHT-SIDED ELBOW LAC,R Elbow laceration,283370006-R
RIGHT-SIDED ELBOW LACERATION,R Elbow laceration,283370006-R
RIGHT-SIDED ELBOW PAIN,R Elbow pain,74323005-R
RIGHT-SIDED EPISTAXIS,R Epistaxis,249366005-R
RIGHT-SIDED EPISTAXSIS,R Epistaxis,249366005-R
RIGHT-SIDED EYE BURN,R Eye burn,274205003-R
RIGHT-SIDED EYE DISCHARGE,R Eye discharge,246679005-R
RIGHT-SIDED EYE EVAL,R Eye eval,118235002-R
RIGHT-SIDED EYE FINDING,R Eye eval,118235002-R
RIGHT-SIDED EYE FOREIGN BODY SENSATION,R Eye foreign body sensation,3283003-R
RIGHT-SIDED EYE PAIN,R Eye pain,41652007-R
RIGHT-SIDED EYE REDNESS,R Eye redness,246676003-R
RIGHT-SIDED EYE SWELLING,R Eye swelling,9404003-R
RIGHT-SIDED EYELID ABSCESS,R Eyelid abscess,76126009-R
RIGHT-SIDED EYELID LAC,R Eyelid laceration,231816006-R
RIGHT-SIDED EYELID LACERATION,R Eyelid laceration,231816006-R
RIGHT-SIDED FACE INJ,R Facial injury,125593007-R
RIGHT-SIDED FACE INJURY,R Facial injury,125593007-R
RIGHT-SIDED FACE NUMBNESS,R Facial numbness,309557009-R
RIGHT-SIDED FACE PAIN,R Facial pain,95668009-R
RIGHT-SIDED FACIAL DROOP,R Facial droop,95667004-R
RIGHT-SIDED FACIAL INJ,R Facial injury,125593007-R
RIGHT-SIDED FACIAL INJURY,R Facial injury,125593007-R
RIGHT-SIDED FACIAL LAC,R Facial laceration,370247008-R
RIGHT-SIDED FACIAL LACERATION,R Facial laceration,370247008-R
RIGHT-SIDED FACIAL NUMBNESS,R Facial numbness,309557009-R
RIGHT-SIDED FACIAL PAIN,R Facial pain,95668009-R
RIGHT-SIDED FACIAL SWELLING,R Facial swelling,278528006-R
RIGHT-SIDED FEET PAIN,R Foot pain,47933007-R
RIGHT-SIDED FEMER FX,R Femur fracture,71620000-R
RIGHT-SIDED FEMUR FRACTURE,R Femur fracture,71620000-R
RIGHT-SIDED FEMUR FX,R Femur fracture,71620000-R
RIGHT-SIDED FIBULA FRACTURE,R Fibula fracture,75591007-R
RIGHT-SIDED FIBULA FX,R Fibula fracture,75591007-R
RIGHT-SIDED FINGER ABSCESS,R Finger abscess,21092002-R
RIGHT-SIDED FINGER BURN,R Finger burn,82057004-R
RIGHT-SIDED FINGER CRUSH INJ,R Finger crush injury,10380004-R
RIGHT-SIDED FINGER CRUSH INJURY,R Finger crush injury,10380004-R
RIGHT-SIDED FINGER FRACTURE,R Finger fracture,18171007-R
RIGHT-SIDED FINGER FX,R Finger fracture,18171007-R
RIGHT-SIDED FINGER INJ,R Finger injury,52011008-R
RIGHT-SIDED FINGER INJURY,R Finger injury,52011008-R
RIGHT-SIDED FINGER LAC,R Finger laceration,274172008-R
RIGHT-SIDED FINGER LACERATION,R Finger laceration,274172008-R
RIGHT-SIDED FINGER NUMB,R Finger numb,309536001-R
RIGHT-SIDED FINGER NUMBNESS,R Finger numb,309536001-R
RIGHT-SIDED FINGER PAIN,R Finger pain,18876004-R
RIGHT-SIDED FINGER REDNESS,R Finger redness,f178d592c5ea11e4b987525400010026-R
RIGHT-SIDED FINGER SWELLING,R Finger swelling,299060006-R
RIGHT-SIDED FINGER TENDON LAC,R Finger tendon laceration,446313009-R
RIGHT-SIDED FINGER TENDON LACERATION,R Finger tendon laceration,446313009-R
RIGHT-SIDED FLANK ABSCESS,R Flank abscess,65967008-R
RIGHT-SIDED FLANK PAIN,R Flank pain,247355005-R
RIGHT-SIDED FOOT ABSCESS,R Foot abscess,301706005-R
RIGHT-SIDED FOOT BURN,R Foot burn,11980003-R
RIGHT-SIDED FOOT CRUSH INJ,R Foot crush injury,43422002-R
RIGHT-SIDED FOOT CRUSH INJURY,R Foot crush injury,43422002-R
RIGHT-SIDED FOOT EDEMA,R Pedal edema,102576009-R
RIGHT-SIDED FOOT FRACTURE,R Foot fracture,15574005-R
RIGHT-SIDED FOOT FX,R Foot fracture,15574005-R
RIGHT-SIDED FOOT INJ,R Foot injury,125604000-R
RIGHT-SIDED FOOT INJURY,R Foot injury,125604000-R
RIGHT-SIDED FOOT LAC,R Foot laceration,284551006-R
RIGHT-SIDED FOOT LACERATION,R Foot laceration,284551006-R
RIGHT-SIDED FOOT NUMBNESS,R Foot numbness,309538000-R
RIGHT-SIDED FOOT PAIN,R Foot pain,47933007-R
RIGHT-SIDED FOOT PARESTHESIA,R Foot paresthesia,309087008-R
RIGHT-SIDED FOOT REDNESS,R Foot redness,d6f96bc0c73711e4b8b2525400010026-R
RIGHT-SIDED FOOT SWELLING,R Foot swelling,297142003-R
RIGHT-SIDED FOOT ULCER,R Foot ulcer,95345008-R
RIGHT-SIDED FOREARM ABSCESS,R Forearm abscess,58964002-R
RIGHT-SIDED FOREARM BURN,R Forearm burn,80827001-R
RIGHT-SIDED FOREARM CRUSH INJ,R Forearm crush injury,111693009-R
RIGHT-SIDED FOREARM CRUSH INJURY,R Forearm crush injury,111693009-R
RIGHT-SIDED FOREARM FRACTURE,R Forearm fracture,65966004-R
RIGHT-SIDED FOREARM FX,R Forearm fracture,65966004-R
RIGHT-SIDED FOREARM INJ,R Forearm injury,125597008-R
RIGHT-SIDED FOREARM INJURY,R Forearm injury,125597008-R
RIGHT-SIDED FOREARM LAC,R Forearm laceration,283371005-R
RIGHT-SIDED FOREARM LACERATION,R Forearm laceration,283371005-R
RIGHT-SIDED FOREARM PAIN,R Forearm pain,444899003-R
RIGHT-SIDED FOREHEAD LAC,R Forehead laceration,283359004-R
RIGHT-SIDED FOREHEAD LACERATION,R Forehead laceration,283359004-R
RIGHT-SIDED FRACTURE OF SCAPULA,R Fracture of scapula,9682006-R
RIGHT-SIDED FX OF SCAPULA,R Fracture of scapula,9682006-R
RIGHT-SIDED GENERAL WEAKNESS,R Weakness,26544005-R
RIGHT-SIDED GENERALIZED WEAKNESS,R Weakness,26544005-R
RIGHT-SIDED GINGIVAE LAC,R Gum laceration,286622004-R
RIGHT-SIDED GINGIVAE LACERATION,R Gum laceration,286622004-R
RIGHT-SIDED GLUTEAL ABSCESS,R Gluteal abscess,64576003-R
RIGHT-SIDED GROIN ABSCESS,R Groin abscess,79216009-R
RIGHT-SIDED GROIN LAC,R Groin laceration,283382002-R
RIGHT-SIDED GROIN LACERATION,R Groin laceration,283382002-R
RIGHT-SIDED GROIN PAIN,R Inguinal pain,102570003-R
RIGHT-SIDED GUM LAC,R Gum laceration,286622004-R
RIGHT-SIDED GUM LACERATION,R Gum laceration,286622004-R
RIGHT-SIDED H/A,R Headache,25064002-R
RIGHT-SIDED HA,R Headache,25064002-R
RIGHT-SIDED HA - HEADACHE,R Headache,25064002-R
RIGHT-SIDED HAND ABSCESS ,R Hand abscess ,3633001-R
RIGHT-SIDED HAND BURN,R Hand burn,14893008-R
RIGHT-SIDED HAND CRUSH INJ,R Hand crush injury,50793006-R
RIGHT-SIDED HAND CRUSH INJURY,R Hand crush injury,50793006-R
RIGHT-SIDED HAND FRACTURE,R Hand fracture,20511007-R
RIGHT-SIDED HAND FX,R Hand fracture,20511007-R
RIGHT-SIDED HAND INJ,R Hand injury,125599006-R
RIGHT-SIDED HAND INJURY,R Hand injury,125599006-R
RIGHT-SIDED HAND LAC,R Hand laceration,284549007-R
RIGHT-SIDED HAND LACERATION,R Hand laceration,284549007-R
RIGHT-SIDED HAND LACS,R Hand laceration,284549007-R
RIGHT-SIDED HAND NUMBNESS,R Hand numbness,309521004-R
RIGHT-SIDED HAND PAIN,R Hand pain,53057004-R
RIGHT-SIDED HAND REDNESS,R Hand redness,098fe948c5e811e4899b525400010026-R
RIGHT-SIDED HAND SWELLING,R Hand swelling,299037003-R
RIGHT-SIDED HAND TENDON INJ,R Hand tendon injury,262971000-R
RIGHT-SIDED HAND TENDON INJURY,R Hand tendon injury,262971000-R
RIGHT-SIDED HAND WEAKNESS,R Hand weakness,298283006-R
RIGHT-SIDED HANDPAIN,R Hand pain,53057004-R
RIGHT-SIDED HEAD ACHE,R Headache,25064002-R
RIGHT-SIDED HEAD PAIN,R Headache,25064002-R
RIGHT-SIDED HEADACHE,R Headache,25064002-R
RIGHT-SIDED HEADACHES,R Headache,25064002-R
RIGHT-SIDED HEARLING LOSS,R Hearling loss,103276001-R
RIGHT-SIDED HEEL ABSCESS,R Heel abscess,91541006-R
RIGHT-SIDED HEEL FX,R Calcaneus fx,263247007-R
RIGHT-SIDED HEEL LAC,R Heel laceration,283395007-R
RIGHT-SIDED HEEL LACERATION,R Heel laceration,283395007-R
RIGHT-SIDED HEEL PAIN,R Heel pain,2733002-R
RIGHT-SIDED HEEL ULCER,R Heel ulcer,301022003-R
RIGHT-SIDED HIP ABSCESS,R Hip abscess,736004-R
RIGHT-SIDED HIP BURN,R Hip burn,284226006-R
RIGHT-SIDED HIP CRUSH INJ,R Hip crush injury,11730002-R
RIGHT-SIDED HIP CRUSH INJURY,R Hip crush injury,11730002-R
RIGHT-SIDED HIP FRACTURE,R Hip fracture,263225007-R
RIGHT-SIDED HIP FX,R Hip fracture,263225007-R
RIGHT-SIDED HIP INJ,R Hip injury,125600009-R
RIGHT-SIDED HIP INJURY,R Hip injury,125600009-R
RIGHT-SIDED HIP LAC,R Hip laceration,283384001-R
RIGHT-SIDED HIP LACERATION,R Hip laceration,283384001-R
RIGHT-SIDED HIP PAIN,R Hip pain,49218002-R
RIGHT-SIDED HUMERUS FRACTURE,R Humerus fracture,66308002-R
RIGHT-SIDED HUMERUS FX,R Humerus fracture,66308002-R
RIGHT-SIDED INGUINAL PAIN,R Inguinal pain,102570003-R
RIGHT-SIDED JAW PAIN,R Jaw pain,274667000-R
RIGHT-SIDED KNEE BURN,R Knee burn,19684007-R
RIGHT-SIDED KNEE CRUSH INJ,R Knee crush injury,38128008-R
RIGHT-SIDED KNEE CRUSH INJURY,R Knee crush injury,38128008-R
RIGHT-SIDED KNEE INJ,R Knee injury,125601008-R
RIGHT-SIDED KNEE INJURY,R Knee injury,125601008-R
RIGHT-SIDED KNEE LAC,R Knee laceration,283386004-R
RIGHT-SIDED KNEE LACERATION,R Knee laceration,283386004-R
RIGHT-SIDED KNEE PAIN,R Knee pain,30989003-R
RIGHT-SIDED KNEE SWELLING,R Knee swelling,248491001-R
RIGHT-SIDED LABIAL TEAR,R Labial tear,249221003-R
RIGHT-SIDED LBP,R Lower back pain,279039007-R
RIGHT-SIDED LBP - LOW BACK PAIN,R Lower back pain,279039007-R
RIGHT-SIDED LE CELLULITIS,R Leg cellulitis,449710006-R
RIGHT-SIDED LE DVT,R Leg DVT,404223003-R
RIGHT-SIDED LE EDEMA,R Leg swelling,449614009-R
RIGHT-SIDED LE INJ,R Leg injury,127279002-R
RIGHT-SIDED LE INJURY,R Leg injury,127279002-R
RIGHT-SIDED LE LAC,R Leg laceration,283357002-R
RIGHT-SIDED LE LACERATION,R Leg laceration,283357002-R
RIGHT-SIDED LE NUMBNESS,R Leg numbness,309537005-R
RIGHT-SIDED LE PAIN,R Leg pain,10601006-R
RIGHT-SIDED LE PARESTHESIA,R Lower extremity paresthesia,429783005-R
RIGHT-SIDED LE REDNESS,R Leg redness,02192a6cc5e811e4a5e0525400010026-R
RIGHT-SIDED LE SWELLING,R Leg swelling,449614009-R
RIGHT-SIDED LE WEAKNESS,R Leg weakness,102568007-R
RIGHT-SIDED LEG ABSCESS,R Leg abscess,315596001-R
RIGHT-SIDED LEG BURN,R Leg burn,84677008-R
RIGHT-SIDED LEG CELLULITIS,R Leg cellulitis,449710006-R
RIGHT-SIDED LEG CRUSH INJ,R Leg crush injury,39595001-R
RIGHT-SIDED LEG CRUSH INJURY,R Leg crush injury,39595001-R
RIGHT-SIDED LEG DVT,R Leg DVT,404223003-R
RIGHT-SIDED LEG INJ,R Leg injury,127279002-R
RIGHT-SIDED LEG INJURY,R Leg injury,127279002-R
RIGHT-SIDED LEG LAC,R Leg laceration,283357002-R
RIGHT-SIDED LEG LACERATION,R Leg laceration,283357002-R
RIGHT-SIDED LEG NUMBNESS,R Leg numbness,309537005-R
RIGHT-SIDED LEG PAIN,R Leg pain,10601006-R
RIGHT-SIDED LEG PARESTHESIA,R Lower extremity paresthesia,429783005-R
RIGHT-SIDED LEG REDNESS,R Leg redness,02192a6cc5e811e4a5e0525400010026-R
RIGHT-SIDED LEG SWELLING,R Leg swelling,449614009-R
RIGHT-SIDED LEG WEAKNESS,R Leg weakness,102568007-R
RIGHT-SIDED LIP LAC,R Lip laceration,283363006-R
RIGHT-SIDED LIP LACERATION,R Lip laceration,283363006-R
RIGHT-SIDED LIP SWELLING,R Lip swelling,163140002-R
RIGHT-SIDED LOW BACK PAIN,R Lower back pain,279039007-R
RIGHT-SIDED LOWER BACK PAIN,R Lower back pain,279039007-R
RIGHT-SIDED LOWER EXTREMITY EDEMA,R Leg swelling,449614009-R
RIGHT-SIDED LOWER EXTREMITY INJ,R Leg injury,127279002-R
RIGHT-SIDED LOWER EXTREMITY INJURY,R Leg injury,127279002-R
RIGHT-SIDED LOWER EXTREMITY NUMBNESS,R Leg numbness,309537005-R
RIGHT-SIDED LOWER EXTREMITY PAIN,R Leg pain,10601006-R
RIGHT-SIDED LOWER EXTREMITY PARESTHESIA,R Lower extremity paresthesia,429783005-R
RIGHT-SIDED LOWER EXTREMITY SWELLING,R Leg swelling,449614009-R
RIGHT-SIDED LOWER EXTREMITY WEAKNESS,R Leg weakness,102568007-R
RIGHT-SIDED LOWER LEG BURN,R Lower leg burn,37696000-R
RIGHT-SIDED LOWER LEG CRUSH INJ,R Lower leg crush injury,40874009-R
RIGHT-SIDED LOWER LEG CRUSH INJURY,R Lower leg crush injury,40874009-R
RIGHT-SIDED LOWER LEG INJ,R Lower leg injury,125602001-R
RIGHT-SIDED LOWER LEG INJURY,R Lower leg injury,125602001-R
RIGHT-SIDED LOWER LEG LAC,R Lower leg laceration,283387008-R
RIGHT-SIDED LOWER LEG LACERATION,R Lower leg laceration,283387008-R
RIGHT-SIDED LOWER LIMB ABSCESS,R Leg abscess,315596001-R
RIGHT-SIDED LOWER LIMB BURN,R Leg burn,84677008-R
RIGHT-SIDED MASTITIS,R Mastitis,45198002-R
RIGHT-SIDED MAXILLARY FRACTURE,R Maxillary fracture,263156006-R
RIGHT-SIDED MAXILLARY FX,R Maxillary fracture,263156006-R
RIGHT-SIDED MIGRAINE,R Headache,25064002-R
RIGHT-SIDED NAIL BED LAC,R Nail bed lac,446314003-R
RIGHT-SIDED NAIL BED LACERATION,R Nail bed lac,446314003-R
RIGHT-SIDED NAILBED LAC,R Nail bed lac,446314003-R
RIGHT-SIDED NAILBED LACERATION,R Nail bed lac,446314003-R
RIGHT-SIDED NASAL FOREIGN BODY,R Nose foriegn body,74699008-R
RIGHT-SIDED NECK PAIN,R Neck pain,81680005-R
RIGHT-SIDED NIPPLE ABSCESS,R Nipple abscess,237439001-R
RIGHT-SIDED NIPPLE PAIN,R Nipple pain,225573003-R
